"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-06","2022","05","06","","12.5","","5.6","","9.1","","8.9","","0.0","","0.0","","0.0","","0.0","","","","22","","36",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-07","2022","05","07","","13.6","","3.5","","8.6","","9.4","","0.0","","0.0","","0.0","","0.0","","","","24","","51",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-08","2022","05","08","","12.3","","1.9","","7.1","","10.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-09","2022","05","09","","13.9","","4.3","","9.1","","8.9","","0.0","","0.7","","0.0","","0.7","","","","23","","31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-10","2022","05","10","","16.4","","3.8","","10.1","","7.9","","0.0","","0.0","","0.0","","0.0","","","","21","","36",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-11","2022","05","11","","12.9","","5.6","","9.3","","8.7","","0.0","","1.0","","0.0","","1.0","","","","29","","34",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-12","2022","05","12","","10.6","","5.6","","8.1","","9.9","","0.0","","2.9","","0.0","","2.9","","","","15","","59",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-13","2022","05","13","","12.9","","0.8","","6.9","","11.1","","0.0","","0.0","T","0.0","","0.0","T","","","15","","39",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-14","2022","05","14","","14.0","","7.3","","10.7","","7.3","","0.0","","2.4","","0.0","","2.4","","","","6","","31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-15","2022","05","15","","13.3","","8.9","","11.1","","6.9","","0.0","","14.9","","0.0","","14.9","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-16","2022","05","16","","15.9","","8.3","","12.1","","5.9","","0.0","","0.5","","0.0","","0.5","","","","25","","62",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-17","2022","05","17","","13.5","","4.6","","9.1","","8.9","","0.0","","0.0","T","0.0","","0.0","T","","","12","","40",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-18","2022","05","18","","13.4","","7.3","","10.4","","7.6","","0.0","","5.4","","0.0","","5.4","","","","24","","84",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-19","2022","05","19","","14.2","","5.2","","9.7","","8.3","","0.0","","0.0","","0.0","","0.0","","","","25","","34",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-05-20","2022","05","20","","16.6","","5.0","","10.8","","7.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
